Ticker,Name,CUSIP,URL,FundCategory,FundSubCategory,ActiveOrPassive,Sector,Geography,Asset Class,Last Close Price,One Month Return,Standard Deviation (annual),Risk Score,Style,Controversy,Environmental,Governance,Social,Sustainability,Has Tobacco,Has Alcohol,Has Gambling,Has Military,Has Fossil Fuels,Benchmark - Conservative (income-focused),Benchmark - Moderate,Benchmark - Balanced,Benchmark - Growth,Benchmark - Aggressive Growth,Benchmark - Most Aggressive Growth
FOCFX,Fidelity Municipal Income 2021 Fund ,316146414,https://fundresearch.fidelity.com/mutual-funds/summary/316146414,FixedIncome,MunicipalNational,Active,Diversified,Domestic,Municipal Bonds,10.98,0.015077154,0.0299,2,Limited Medium,High,Average,Low,High,Average,1,0,1,1,1,0,0,0,0,0,0
FFTHX,Fidelity Freedom 2035 Fund ,315792655,https://fundresearch.fidelity.com/mutual-funds/summary/315792655,AssetAllocation,TargetDate,Active,Diversified,International,Mixed,14.58,0.0064,0.0982,6,Large Blend,Average,High,Low,Average,Average,0,1,0,1,0,0,0,0,0,0,0
FDEEX,Fidelity Freedom 2055 Fund ,315793851,https://fundresearch.fidelity.com/mutual-funds/summary/315793851,AssetAllocation,TargetDate,Active,Diversified,International,Mixed,13.09,0.0063,0.0976,6,Large Blend,Average,High,Low,Low,Average,0,1,0,1,0,0,0,0,0,0,0
FDKVX,Fidelity Freedom 2060 Fund ,315793729,https://fundresearch.fidelity.com/mutual-funds/summary/315793729,AssetAllocation,TargetDate,Active,Diversified,International,Mixed,11.63,0.0071,0.0975,6,Large Blend,Average,Average,Average,High,Average,0,1,0,1,0,0,0,0,0,0,0
FFFAX,Fidelity Freedom Income Fund ,31617R308,https://fundresearch.fidelity.com/mutual-funds/summary/31617R308,AssetAllocation,TargetDate,Active,Diversified,International,Mixed,11.76,0.0009,0.0348,3,Large Blend,Average,High,Low,Average,Low,0,1,1,0,1,0,0,0,0,0,0
FFANX,Fidelity Asset Manager 40% ,316069657,https://fundresearch.fidelity.com/mutual-funds/summary/316069657,AssetAllocation,TargetRisk,Active,Diversified,International,Mixed,11.52,0.0018,0.05,4,Large Growth,Average,Average,Average,Average,Low,1,0,0,0,1,0,0,0,0,0,0
FSANX,Fidelity Asset Manager 60% ,316069582,https://fundresearch.fidelity.com/mutual-funds/summary/316069582,AssetAllocation,TargetRisk,Active,Diversified,International,Mixed,12.26,0.0033,0.0694,4,Large Growth,High,Low,High,High,Average,1,0,1,1,0,0,0,0,0,0,0
FBALX,Fidelity Balanced Fund ,316345206,https://fundresearch.fidelity.com/mutual-funds/summary/316345206,AssetAllocation,BalancedAllocation,Active,Diversified,International,Mixed,24.15,0.0017,0.0754,5,Large Growth,Low,High,High,High,Low,0,1,0,1,1,0,0,0,0,0,0
FGBLX,Fidelity Global Balanced Fund ,316345404,https://fundresearch.fidelity.com/mutual-funds/summary/316345404,AssetAllocation,BalancedAllocation,Active,Diversified,International,Mixed,24.97,0.0266,0.0757,5,Large Growth,Average,Average,Low,Average,Average,0,1,1,0,0,0,0,0,0,0,0
FDYSX,Fidelity Global Strategies Fund ,316146737,https://fundresearch.fidelity.com/mutual-funds/summary/316146737,AssetAllocation,BalancedAllocation,Active,Diversified,International,Mixed,9.47,0.0106,0.069,4,Large Growth,Low,Average,Low,High,Low,1,0,0,1,0,0,0,0,0,0,0
FIRNX,Fidelity Simplicity RMD Income Fund ,31617K519,https://fundresearch.fidelity.com/mutual-funds/summary/31617K519,AssetAllocation,SimplicityRMDFunds,Active,Diversified,International,Mixed,61.15,0.0009,0.0448,3,Large Blend,Average,High,Low,Average,High,1,1,1,1,1,0,0,0,0,0,0
FSCKX,Fidelity Mid Cap Index Fund Premium Class ,316146281,https://fundresearch.fidelity.com/mutual-funds/summary/316146281,Index,DomesticStock,Passive,Diversified,International,Equity,19.81,0.0094,0.1128,7,Medium Blend,High,High,Average,Average,High,1,0,1,1,0,0,0,0,0,0,0
FENSX,Fidelity U.S. Sustainability Index Fund Investor Class ,31635V422,https://fundresearch.fidelity.com/mutual-funds/summary/31635V422,Index,DomesticStock,Passive,Diversified,International,Equity,10.39,0.0069,0.1342,8,None,High,Low,Average,High,High,0,1,0,1,0,0,0,0,0,0,0.1
FNCMX,Fidelity Nasdaq Composite Index Fund ,315912709,https://fundresearch.fidelity.com/mutual-funds/summary/315912709,Index,DomesticStock,Passive,Diversified,International,Equity,84.52,0.0091,0.1288,7,Large Growth,Average,Low,High,Low,Low,1,1,0,1,0,0,0.15,0.15,0.15,0.15,0.15
FSIIX,Fidelity International Index Fund Investor Class ,315911602,https://fundresearch.fidelity.com/mutual-funds/summary/315911602,Index,InternationalStock,Passive,Diversified,International,Equity,41.17,0.001,0.1171,7,Large Blend,Low,High,High,High,Average,1,0,0,1,0,0,0.15,0.15,0.15,0.2,0
FSGUX,Fidelity Global ex US Index Fund Investor Class ,316146158,https://fundresearch.fidelity.com/mutual-funds/summary/316146158,Index,InternationalStock,Passive,Diversified,International,Equity,12.83,0.0316,0.1197,7,Large Blend,High,High,High,High,Low,0,1,0,0,1,0,0,0,0,0,0.15
FPEMX,Fidelity Emerging Markets Index Fund Investor Class ,316146349,https://fundresearch.fidelity.com/mutual-funds/summary/316146349,Index,InternationalStock,Passive,Diversified,International,Equity,10.61,0.029,0.1602,9,Large Blend,Low,Low,Average,High,Low,0,0,1,0,1,0,0,0,0,0,0
FPMAX,Fidelity Emerging Markets Index Fund Premium Class ,316146174,https://fundresearch.fidelity.com/mutual-funds/summary/316146174,Index,InternationalStock,Passive,Diversified,International,Equity,10.62,0.029,0.1603,9,Large Blend,Low,Average,High,Average,Low,1,1,1,1,0,0,0,0,0,0,0
FFNOX,Fidelity Four-in-One Index Fund ,31634R109,https://fundresearch.fidelity.com/mutual-funds/summary/31634R109,Index,Speciality,Passive,Diversified,International,Equity,42.25,0.0061,0.0886,5,Large Blend,High,Low,Low,Average,High,0,0,0,0,1,0,0,0,0,0,0
FBIDX,Fidelity U.S. Bond Index Fund Investor Class ,315911107,https://fundresearch.fidelity.com/mutual-funds/summary/315911107,Index,Bond,Passive,Diversified,International,Corporate Bonds,11.65,0.0061,0.0304,3,Moderate High,Average,Low,Average,High,Low,1,1,0,0,1,0,0,0,0,0,0
FSBIX,Fidelity Short-Term Treasury Bond Index Fund Investor Class ,315911867,https://fundresearch.fidelity.com/mutual-funds/summary/315911867,Index,Bond,Passive,Diversified,International,Government Bonds,10.42,0.0061,0.0149,2,Limited High,Average,High,High,Average,Average,1,1,1,1,1,0,0,0,0,0,0
FSBAX,Fidelity Short-Term Treasury Bond Index Fund Premium Class ,315911859,https://fundresearch.fidelity.com/mutual-funds/summary/315911859,Index,Bond,Passive,Diversified,International,Government Bonds,10.42,0.0061,0.0149,2,Limited High,High,Low,Average,High,Average,0,0,0,1,0,0,0,0,0,0,0
FIBIX,Fidelity Intermediate Treasury Bond Index Fund Investor Class ,315911842,https://fundresearch.fidelity.com/mutual-funds/summary/315911842,Index,Bond,Passive,Diversified,International,Government Bonds,10.81,0.0061,0.0457,3,Moderate High,High,High,Average,Low,Average,1,1,0,0,0,0,0,0,0,0,0
FLBIX,Fidelity Long-Term Treasury Bond Index Fund Investor Class ,315911826,https://fundresearch.fidelity.com/mutual-funds/summary/315911826,Index,Bond,Passive,Diversified,International,Government Bonds,13.13,0.0068,0.1147,7,Extensive High,High,Low,Low,Low,High,0,0,1,1,1,0,0,0,0,0,0
